koryakov_db_id,eng_vil_name,rus_vil_name,lang_1_K,lang_2_K,lang_1_S,lang_2_S,same_languages,name_1885,name_1895,name_1926,name_2010,census_1885,census_1895,census_1926,census_2010,Lat,Lon,Republic,Region,elevation,LevK_comments,kutans
481,NA,? Бехвалутчи/Бехахутли,Tindi,NA,NA,NA,NA,NA,NA,Бехоркучи,Бехвалутчи,NA,NA,45,26,NA,NA,NA,NA,NA,NA,NA
3887,NA,(база отдыха),Kumyk,NA,NA,NA,NA,NA,NA,Сулак № 2,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
3943,NA,(Старый) Гапцах,Lezgian,NA,NA,NA,NA,Гапца (Гепце),"Гапца (Гепце, Хабца, Хапцагар)",Гопцах,NA,939,883,1034,NA,NA,NA,NA,NA,NA,NA,NA
3327,NA,(старый) Хорель,Lezgian,NA,NA,NA,NA,Хорал (Хюраль),Хораль (Хюраль),Хорель,NA,417,422,547,NA,NA,NA,NA,NA,NA,NA,NA
3915,NA,5-й Караман,Russian,NA,NA,NA,NA,NA,NA,Караман № 1,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA
375,NA,№ 1,Botlikh,NA,NA,NA,NA,NA,NA,№ 1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
377,NA,№ 2,Botlikh,NA,NA,NA,NA,NA,NA,№ 2,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
1047,NA,Абдуразда,Avar,NA,NA,NA,NA,NA,NA,Абдуразда,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
1291,NA,Абидуны Махи,Dargwa,сев.,NA,NA,NA,NA,NA,Абидуны Махи,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,NA
1949,Avadan,Авадан,North Azerbaijani,NA,Lezgian,NA,FALSE,Араблир,Арабляр,Арабляр,Авадан,149,145,76,2855,41.93376,48.33858,Daghestan,NA,6.30205154418945,NA,not_kutan
1485,NA,Авулт,Dargwa,сев.,NA,NA,NA,NA,NA,Авулт,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA
1051,Agada,Агада,Avar,NA,Avar,NA,TRUE,NA,NA,Ахада,Агада,NA,NA,35,45,42.412001,46.841895,Daghestan,NA,1210.09204101563,NA,not_kutan
3657,Agachaul,Агачаул,Kumyk,NA,Kumyk,NA,TRUE,Агач-аул,Агач-аул,Агач-Аул,Агачаул,469,305,534,1811,42.92306,47.46064,Daghestan,NA,250.854614257812,NA,not_kutan
855,Agachkala,Агачкала,Kumyk,NA,Kumyk,NA,TRUE,Агач-Кала,NA,Агач-Кала,Агачкала,24,NA,90,447,42.76698,47.07599,Daghestan,NA,686.41064453125,NA,not_kutan
215,Agvali,Агвали,Chamalal,NA,Chamalal,NA,TRUE,Ашали,Агвали (Агуали),Агвали,Агвали,181,183,213,2453,42.541192,46.121798,Daghestan,NA,962.579956054688,?,not_kutan
215,NA,Агвали,Chamalal,NA,NA,NA,NA,Ашали,Агвали (Агуали),Агвали,Агвали,181,183,213,2453,NA,NA,NA,NA,NA,?,NA
287,Agvali,Агвали,Chamalal,NA,Chamalal,NA,TRUE,NA,NA,Агвали,NA,NA,NA,72,NA,42.541192,46.121798,Daghestan,NA,962.579956054688,?,not_kutan
287,NA,Агвали,Chamalal,NA,NA,NA,NA,NA,NA,Агвали,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,?,NA
2055,Aglobi,Аглоби,тат+,NA,Lezgian,NA,FALSE,Аглаби (Агляби),"Аглаби (Агляби, Оглак)",Аглаби,Аглоби,139,145,165,2343,41.90152,48.35017,Daghestan,NA,17.4916496276856,NA,not_kutan
2359,Adaga,Адага,Dargwa,кайт.,Dargwa,NA,TRUE,Адага (Адагай),Адага (Адагай),Адага,Адага,428,418,432,162,42.00972,47.71357,Daghestan,NA,1109.09155273438,NA,not_kutan
669,Adanak,Аданак,Kumyk,NA,Kumyk,NA,TRUE,NA,NA,Аданак,Аданак,NA,NA,19,1464,42.7522,47.4586,Daghestan,NA,297.048889160156,NA,not_kutan
679,NA,Аданак-Котан,Kumyk,NA,NA,NA,NA,NA,NA,Аданак-Котан,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA
3665,Adzhidada,Аджидада,Kumyk,NA,Avar,NA,FALSE,NA,NA,Аджидада,Аджидада,NA,NA,147,1645,43.2861,47.0731,Daghestan,NA,-10.7896680831909,NA,kutan
1539,Adukmakhi,Адукмахи,Dargwa,сев.,Dargwa,NA,TRUE,NA,NA,Адук-Махи,Адукмахи,NA,NA,21,0,42.39928,47.401891,Daghestan,NA,1446.87512207031,NA,not_kutan
