,language_initial,koryakov_db_id,eng_vil_name,rus_vil_name,lang_1_K,lang_2_K,lang_1_S,lang_2_S,same_languages,name_1885,name_1895,name_1926,name_2010,census_1885,census_1895,census_1926,census_2010,Lat,Lon,Republic,Region,elevation,LevK_comments,kutans,Family,language
0,Aghul агульский собственно,3219.0,Bedyuk,Бедюк,Aghul,агульский собственно,Aghul,,True,"Бедук (Бадёк, Витгих)","Бедук (Бадек, Виттих)",Бедук,Бедюк,209.0,221.0,292.0,301.0,41.716044000000004,47.525715000000005,Daghestan,,2171.84130859375,,not_kutan,Lezgic,Aghul Aghul proper
1,Aghul агульский собственно,3021.0,Burkikhan,Буркихан,Aghul,агульский собственно,Aghul,,True,"Боркихан (Буркихан, Гёкёпар)",Буркихан (Бор. - Гёкёнар),Буркихан,Буркихан,695.0,710.0,780.0,1193.0,41.806356,47.538467,Daghestan,,1917.4191894531302,,not_kutan,Lezgic,Aghul Aghul proper
2,Aghul агульский собственно,3045.0,Goa,Гоа,Aghul,агульский собственно,Aghul,,True,Гоа,"Гоа (Гуэ, Уга)",Гоа,Гоа,208.0,215.0,266.0,476.0,41.753585,47.703213,Daghestan,,1540.9460449218802,,not_kutan,Lezgic,Aghul Aghul proper
3,Aghul агульский собственно,3057.0,Duldug,Дулдуг,Aghul,агульский собственно,Aghul,,True,Дулдуг,Дулдуг (Дюльдух),Дулдуг,Дулдуг,371.0,386.0,380.0,544.0,41.76833,47.67438,Daghestan,,1560.97912597656,,not_kutan,Lezgic,Aghul Aghul proper
4,Aghul агульский собственно,3035.0,Kvardal,Квардал,Aghul,агульский собственно,Aghul,,True,Кордал (Куардал),"Кордал (Куардал, Квардал)",Кордал,Квардал,120.0,150.0,161.0,184.0,41.6803,47.56277,Daghestan,,1980.43359375,,not_kutan,Lezgic,Aghul Aghul proper
5,Aghul агульский собственно,3149.0,Kurag,Кураг,Aghul,агульский собственно,Aghul,,True,Курах (Кураг),Хюрах (Курах),Кураг,Кураг,260.0,225.0,352.0,420.0,41.836764,47.661351,Daghestan,,1823.28076171875,,not_kutan,Lezgic,Aghul Aghul proper
6,Aghul агульский собственно,3359.0,Misi,Миси,Aghul,агульский собственно,Aghul,,True,Миси,Миси,Миса,Миси,213.0,235.0,231.0,285.0,41.809909999999995,47.60329,Daghestan,,1813.0388183593802,,not_kutan,Lezgic,Aghul Aghul proper
7,Aghul агульский собственно,3217.0,Richa,Рича,Aghul,агульский собственно,Aghul,,True,"Рыча (Рича, Рчаар)","Рича (Рыча, Рчаар)",Рича,Рича,653.0,625.0,885.0,1270.0,41.763646,47.502769,Daghestan,,2053.85205078125,,not_kutan,Lezgic,Aghul Aghul proper
8,Aghul агульский собственно,3281.0,Tpig,Тпиг,Aghul,агульский собственно,Aghul,,True,Тпиг (Типпиг),"Тпиг (Типпиг, Тепег)",Типиг,Тпиг,820.0,712.0,888.0,2730.0,41.780423,47.589523,Daghestan,,1709.60607910156,,not_kutan,Lezgic,Aghul Aghul proper
9,Aghul агульский собственно,3037.0,Ukuz,Укуз,Aghul,агульский собственно,Aghul,,True,Укуз (Укуд),"Укуз (Укуд, Укудлу)",Укуз,Укуз,126.0,143.0,189.0,35.0,41.696017,47.591355,Daghestan,,2031.93017578125,,not_kutan,Lezgic,Aghul Aghul proper
